Episode,Reward
0,-199
1,-199
2,-199
3,-199
4,-199
5,48
6,35
7,-199
8,91
9,4
10,-199
11,-199
12,57
13,-199
14,-199
15,-199
16,-199
17,82
18,-199
19,-199
20,-199
21,-199
22,96
23,-199
24,64
25,-199
26,13
27,37
28,-199
29,18
30,-199
31,87
32,-199
33,42
34,-199
35,-199
36,54
37,-199
38,81
39,-199
40,-199
41,85
42,87
43,52
44,-199
45,59
46,-199
47,-199
48,13
49,-199
50,-199
51,-199
52,-199
53,-199
54,-199
55,-199
56,98
57,-199
58,-199
59,-199
60,-199
61,76
62,-199
63,-199
64,-199
65,84
66,-199
67,-199
68,98
69,93
70,65
71,-199
72,71
73,-199
74,-199
75,7
76,-199
77,-199
78,64
79,-199
80,-199
81,-199
82,-199
83,-199
84,-199
85,-199
86,67
87,-199
88,22
89,80
90,-199
91,68
92,-199
93,-199
94,-199
95,87
96,-199
97,85
98,54
99,-199
100,-199
101,-199
102,-199
103,98
104,-199
105,-199
106,97
107,23
108,58
109,-199
110,-199
111,86
112,-199
113,90
114,5
115,16
116,-199
117,-199
118,53
119,-199
120,7
121,-199
122,80
123,-199
124,-199
125,3
126,-199
127,-199
128,-199
129,34
130,-199
131,63
132,-199
133,8
134,63
135,78
136,75
137,-199
138,-199
139,-199
140,-199
141,22
142,-199
143,95
144,-199
145,89
146,-199
147,-199
148,-199
149,78
150,-199
151,-199
152,-199
153,-199
154,-199
155,-199
156,-199
157,-199
158,-199
159,31
160,-199
161,4
162,-199
163,25
164,43
165,81
166,64
167,72
168,-199
169,76
170,57
171,98
172,6
173,56
174,30
175,-199
176,63
177,47
178,-199
179,-199
180,-199
181,11
182,-199
183,77
184,-199
185,-199
186,71
187,-199
188,82
189,-199
190,82
191,-199
192,-199
193,91
194,13
195,-199
196,96
197,-199
198,62
199,-199
200,87
201,100
202,69
203,-199
204,5
205,92
206,-199
207,-199
208,-199
209,-199
210,-199
211,-199
212,50
213,-199
214,-199
215,-199
216,-199
217,46
218,-199
219,-199
220,-199
221,90
222,-199
223,69
224,95
225,27
226,99
227,54
228,-199
229,46
230,23
231,-199
232,-199
233,-199
234,-199
235,95
236,-199
237,-199
238,99
239,90
240,54
241,81
242,100
243,-199
244,61
245,23
246,100
247,7
248,70
249,4
250,-199
251,77
252,-199
253,45
254,37
255,67
256,-199
257,-199
258,-199
259,-199
260,49
261,-199
262,22
263,44
264,-199
265,76
266,-199
267,-199
268,-199
269,-199
270,95
271,-199
272,60
273,81
274,55
275,-199
276,-199
277,91
278,-199
279,-199
280,-199
281,51
282,62
283,63
284,-199
285,54
286,86
287,-199
288,81
289,40
290,-199
291,-199
292,19
293,-199
294,94
295,95
296,87
297,97
298,-199
299,51
300,-199
301,4
302,9
303,-199
304,-199
305,-199
306,-199
307,91
308,-199
309,-199
310,71
311,-199
312,-199
313,-199
314,67
315,67
316,-199
317,69
318,32
319,74
320,-199
321,100
322,11
323,-199
324,-199
325,43
326,-199
327,81
328,18
329,-199
330,96
331,-199
332,-199
333,-199
334,51
335,43
336,75
337,-199
338,-199
339,-199
340,35
341,94
342,-199
343,30
344,39
345,94
346,14
347,48
348,98
349,-199
350,-199
351,-199
352,-199
353,38
354,54
355,-199
356,-199
357,98
358,20
359,-199
360,-199
361,100
362,89
363,95
364,-199
365,69
366,-199
367,54
368,-199
369,25
370,9
371,-199
372,93
373,-199
374,8
375,-199
376,-199
377,83
378,25
379,-199
380,91
381,99
382,-199
383,-199
384,14
385,-199
386,-199
387,-199
388,74
389,67
390,99
391,-199
392,-199
393,-199
394,4
395,48
396,41
397,-199
398,10
399,-199
400,-199
401,-199
402,-199
403,84
404,22
405,-199
406,-199
407,-199
408,-199
409,90
410,96
411,47
412,-199
413,99
414,-199
415,27
416,-199
417,24
418,-199
419,99
420,55
421,-199
422,59
423,33
424,81
425,63
426,-199
427,91
428,33
429,100
430,65
431,-199
432,-199
433,26
434,90
435,87
436,-199
437,63
438,38
439,-199
440,-199
441,67
442,77
443,-199
444,81
445,80
446,62
447,93
448,12
449,-199
450,98
451,-199
452,99
453,45
454,-199
455,70
456,-199
457,92
458,65
459,-199
460,-199
461,100
462,-199
463,-199
464,10
465,65
466,-199
467,-199
468,21
469,85
470,87
471,-199
472,-199
473,50
474,-199
475,-199
476,-199
477,-199
478,-199
479,76
480,-199
481,95
482,-199
483,97
484,34
485,98
486,20
487,80
488,70
489,-199
490,99
491,-199
492,-199
493,57
494,74
495,85
496,47
497,87
498,-199
499,65
500,-199
501,96
502,-199
503,88
504,-199
505,99
506,90
507,84
508,-199
509,-199
510,-199
511,1
512,-199
513,89
514,79
515,-199
516,98
517,92
518,58
519,97
520,99
521,-199
522,70
523,-199
524,44
525,-199
526,-199
527,-199
528,82
529,100
530,-199
531,-199
532,31
533,80
534,94
535,25
536,63
537,40
538,-199
539,-199
540,-199
541,76
542,34
543,-199
544,92
545,77
546,59
547,27
548,68
549,24
550,-199
551,-199
552,85
553,18
554,97
555,95
556,-199
557,94
558,29
559,82
560,-199
561,46
562,-199
563,76
564,-199
565,85
566,-199
567,47
568,45
569,81
570,33
571,-199
572,-199
573,-199
574,-199
575,16
576,33
577,57
578,-199
579,95
580,88
581,-199
582,-199
583,70
584,56
585,-199
586,85
587,91
588,70
589,53
590,40
591,91
592,93
593,92
594,88
595,77
596,3
597,53
598,-199
599,98
600,56
601,32
602,62
603,100
604,24
605,66
606,19
607,92
608,70
609,-199
610,79
611,30
612,-199
613,21
614,-199
615,56
616,45
617,74
618,-199
619,98
620,67
621,74
622,38
623,10
624,100
625,-199
626,62
627,-199
628,48
629,-199
630,40
631,-199
632,-199
633,-199
634,71
635,-199
636,37
637,14
638,99
639,-199
640,78
641,30
642,93
643,-199
644,-199
645,39
646,11
647,93
648,71
649,-199
650,-199
651,15
652,-199
653,-199
654,100
655,-199
656,-199
657,29
658,-199
659,47
660,-199
661,-199
662,64
663,44
664,-199
665,-199
666,71
667,-199
668,-199
669,-199
670,-199
671,94
672,66
673,-199
674,-199
675,-199
676,82
677,87
678,-199
679,13
680,65
681,82
682,-199
683,94
684,-199
685,-199
686,50
687,27
688,39
689,84
690,99
691,89
692,42
693,27
694,30
695,-199
696,54
697,46
698,63
699,61
700,-199
701,95
702,59
703,-199
704,-199
705,-199
706,38
707,30
708,81
709,47
710,-199
711,-199
712,-199
713,-199
714,89
715,93
716,96
717,-199
718,57
719,8
720,-199
721,-199
722,31
723,56
724,52
725,76
726,7
727,100
728,100
729,71
730,99
731,100
732,-199
733,-199
734,100
735,-199
736,25
737,-199
738,53
739,-199
740,-199
741,91
742,66
743,-199
744,100
745,24
746,20
747,73
748,45
749,-199
750,-199
751,-199
752,91
753,59
754,74
755,-199
756,51
757,-199
758,-199
759,63
760,-199
761,61
762,100
763,68
764,88
765,-199
766,-199
767,74
768,66
769,-199
770,77
771,-199
772,-199
773,31
774,99
775,74
776,42
777,79
778,95
779,21
780,-199
781,86
782,100
783,41
784,7
785,-199
786,34
787,82
788,28
789,97
790,83
791,-199
792,95
793,-199
794,-199
795,-199
796,-199
797,-199
798,-199
799,89
800,48
801,11
802,99
803,-199
804,88
805,-199
806,99
807,3
808,14
809,69
810,61
811,71
812,-199
813,46
814,-199
815,65
816,94
817,52
818,77
819,98
820,-199
821,18
822,100
823,33
824,-199
825,-199
826,60
827,88
828,39
829,72
830,92
831,-199
832,37
833,64
834,51
835,-199
836,-199
837,-199
838,59
839,-199
840,73
841,-199
842,83
843,51
844,-199
845,18
846,36
847,43
848,-199
849,-199
850,-199
851,99
852,-199
853,21
854,79
855,62
856,69
857,87
858,-199
859,-199
860,-199
861,-199
862,48
863,31
864,-199
865,100
866,63
867,30
868,51
869,-199
870,100
871,10
872,7
873,59
874,-199
875,74
876,96
877,-199
878,-199
879,58
880,90
881,92
882,57
883,-199
884,-199
885,60
886,-199
887,-199
888,5
889,-199
890,-199
891,91
892,72
893,67
894,56
895,91
896,-199
897,-199
898,82
899,-199
900,-199
901,39
902,13
903,-199
904,100
905,20
906,-199
907,99
908,-199
909,91
910,-199
911,-199
912,74
913,97
914,64
915,-199
916,-199
917,-199
